Sample_ID,Label,Value_R,Value_C,Magnitude_0,Magnitude_1,Magnitude_2,Magnitude_3,Magnitude_4,Magnitude_5,Magnitude_6,Magnitude_7,Magnitude_8,Magnitude_9,Magnitude_10,Magnitude_11,Magnitude_12,Magnitude_13,Magnitude_14,Phase_0,Phase_1,Phase_2,Phase_3,Phase_4,Phase_5,Phase_6,Phase_7,Phase_8,Phase_9,Phase_10,Phase_11,Phase_12,Phase_13,Phase_14
19,nothing,0.0,0.0,147334.78,369013.93,232489.421,174504.468,170294.265,177105.968,152157.953,188147.656,182232.484,190925.859,182392.0,192498.796,149724.968,194852.359,234363.531,-161.963,97.468,162.692,-148.506,-160.27,-166.406,-169.348,-168.354,-168.883,-163.695,-167.18,-165.529,-159.28,-161.722,-154.674
20,nothing,0.0,0.0,106379.882,97523.632,207694.406,306844.343,221861.484,183345.93,177766.156,169240.765,220467.312,295523.656,201362.484,196355.609,182603.812,186441.593,266976.468,-152.177,153.53,-172.672,-163.28,169.99,179.734,-174.179,-176.965,178.44,174.114,-179.765,-179.84,178.206,173.18,164.351
21,nothing,0.0,0.0,134492.546,776710.25,301073.218,139240.46,149762.15,189311.562,196866.656,178952.89,221159.328,290369.531,203765.984,217100.734,187263.515,191938.234,220247.375,-172.855,-65.45,-179.42,-165.29,-172.236,-174.193,174.572,-169.6,178.653,-170.765,-174.672,-177.39,-174.82,177.565,-176.598
22,nothing,0.0,0.0,131403.703,93403.406,173857.562,171192.765,157923.125,179263.515,164680.734,175029.15,207762.687,221873.968,172978.546,215735.609,184135.734,163451.765,318127.93,175.47,174.951,152.732,-157.848,-179.467,164.349,-177.784,174.217,178.603,176.349,177.262,-179.277,174.718,170.309,179.18
23,nothing,0.0,0.0,133679.687,92966.867,215982.89,188986.125,170751.78,227230.25,148324.546,155994.812,191582.656,272360.468,199445.562,189750.14,171089.562,167084.718,225991.625,-162.732,-165.274,151.339,144.246,-167.54,160.756,161.661,171.982,164.848,167.29,162.395,154.332,160.611,157.563,139.549
24,nothing,0.0,0.0,133474.671,91874.312,220988.281,152383.359,160386.14,191624.671,146797.171,163822.968,195919.859,265550.906,173227.921,194904.62,192441.921,208697.796,195898.843,-156.81,-157.767,165.254,162.364,-151.807,179.828,-168.713,-169.63,-165.386,-159.244,-159.366,-167.539,-163.767,-167.113,-152.179
25,nothing,0.0,0.0,188882.468,176624.62,139396.765,148960.375,210080.75,196354.734,191691.875,190882.468,208735.937,256745.15,234159.593,195614.437,203848.968,219832.562,243074.906,-169.141,-106.137,169.315,-158.615,175.227,-172.768,176.866,-172.275,-174.842,-165.496,-164.875,-175.129,-171.569,-173.344,-169.723
26,nothing,0.0,0.0,119214.257,171169.906,131520.375,141950.937,213233.281,194842.703,162997.453,171573.468,194210.25,248186.281,204814.843,201054.984,171429.859,193522.875,298669.75,179.108,123.402,177.129,-175.844,-156.926,169.638,177.188,-179.234,179.22,179.11,175.747,-174.234,172.434,-179.491,172.149
27,nothing,0.0,0.0,130802.601,90653.93,256925.953,224356.734,166580.765,216259.812,148568.437,187638.718,190011.593,262334.0,191873.343,190172.718,182028.609,176446.859,226564.656,-160.986,-169.25,155.45,135.18,-168.454,166.57,168.447,173.516,169.487,-178.538,176.656,168.286,168.577,157.984,149.156
28,nothing,0.0,0.0,407187.281,161360.765,286959.156,216569.937,256090.31,288504.5,300623.0,269410.125,276648.343,209312.828,221464.281,151750.937,151554.31,129444.359,111613.125,-60.708,-90.72,-61.745,-87.521,-41.805,-69.4,-79.46,-76.862,-85.497,-85.264,-83.664,-72.953,-68.497,-77.35,-83.84
