timestamp,data
2026-07-02T10:13:55.097143,Project Codename: ColorfulFlower v1.1
2026-07-02T10:13:55.195668,Authors: Bilel Ben Atitallah & Ahmed Yahia Kallel
2026-07-02T10:13:55.195668,"Starting DAC, TIM3, DMA"
2026-07-02T10:13:55.195668,Calibrating ADCs
2026-07-02T10:13:55.195668,"Starting ADC1/2, TIM2, DMA"
2026-07-02T10:13:55.195668,Forwarding to main loop...
2026-07-02T10:13:55.407714,"0, 3161.217,-38.662,3161.217,-38.662"
2026-07-02T10:13:55.415226,"1, 2780.133,-28.361,2780.133,-28.361"
2026-07-02T10:13:55.415226,"2, 2667.542,-21.293,2667.542,-21.293"
2026-07-02T10:13:55.415226,"3, 2625.543,-17.364,2625.543,-17.364"
2026-07-02T10:13:55.417226,"4, 2566.388,-15.268,2566.388,-15.268"
2026-07-02T10:13:55.417226,"5, 2544.998,-12.807,2544.998,-12.807"
2026-07-02T10:13:55.424013,"6, 2547.854,-11.305,2547.854,-11.305"
2026-07-02T10:13:55.425013,"7, 2523.67,-10.407,2523.67,-10.407"
2026-07-02T10:13:55.474011,"8, 2514.919,-8.841,2514.919,-8.841"
2026-07-02T10:13:55.521539,"9, 2480.894,-8.496,2480.894,-8.496"
2026-07-02T10:13:55.521539,"10, 2512.218,-7.355,2512.218,-7.355"
2026-07-02T10:13:55.521539,"11, 2501.211,-6.678,2501.211,-6.678"
2026-07-02T10:13:55.521539,"12, 2485.504,-5.822,2485.504,-5.822"
2026-07-02T10:13:55.522539,"13, 2496.939,-4.793,2496.939,-4.793"
2026-07-02T10:13:55.522539,"14, 2466.114,-4.461,2466.114,-4.461"
2026-07-02T10:13:55.740736,"0, 3128.12,-38.516,3161.184,-38.662"
2026-07-02T10:13:55.748738,"1, 2753.549,-28.800,2780.106,-28.361"
2026-07-02T10:13:55.748738,"2, 2615.543,-22.385,2667.490,-21.294"
2026-07-02T10:13:55.748738,"3, 2548.598,-18.147,2625.467,-17.365"
2026-07-02T10:13:55.805757,"4, 2514.833,-14.635,2566.337,-15.267"
2026-07-02T10:13:55.805757,"5, 2493.51,-13.55,2544.946,-12.808"
2026-07-02T10:13:55.848272,"6, 2472.745,-11.570,2547.779,-11.305"
2026-07-02T10:13:55.848272,"7, 2457.906,-10.49,2523.2,-10.407"
2026-07-02T10:13:55.849277,"8, 2451.606,-8.907,2514.856,-8.841"
2026-07-02T10:13:55.859272,"9, 2468.216,-7.953,2480.881,-8.496"
2026-07-02T10:13:55.859272,"10, 2453.131,-6.591,2512.159,-7.355"
2026-07-02T10:13:55.860271,"11, 2435.540,-6.282,2501.145,-6.678"
2026-07-02T10:13:55.860271,"12, 2434.16,-5.282,2485.453,-5.822"
2026-07-02T10:13:55.860271,"13, 2426.865,-4.785,2496.869,-4.793"
2026-07-02T10:13:55.860271,"14, 2454.173,-4.150,2466.103,-4.461"
2026-07-02T10:13:56.073005,"0, 3157.949,-38.558,3161.181,-38.662"
2026-07-02T10:13:56.081007,"1, 2824.20,-27.192,2780.150,-28.360"
2026-07-02T10:13:56.081007,"2, 2674.963,-20.892,2667.498,-21.293"
2026-07-02T10:13:56.189661,"3, 2588.211,-17.702,2625.429,-17.365"
2026-07-02T10:13:56.190667,"4, 2548.470,-15.78,2566.319,-15.267"
2026-07-02T10:13:56.190667,"5, 2556.352,-12.810,2544.957,-12.808"
2026-07-02T10:13:56.190667,"6, 2541.153,-10.678,2547.772,-11.304"
2026-07-02T10:13:56.190667,"7, 2499.326,-9.910,2522.978,-10.406"
2026-07-02T10:13:56.191662,"8, 2500.301,-8.722,2514.842,-8.841"
2026-07-02T10:13:56.191662,"9, 2466.218,-7.687,2480.866,-8.495"
2026-07-02T10:13:56.191662,"10, 2506.752,-6.607,2512.153,-7.354"
2026-07-02T10:13:56.191662,"11, 2467.695,-6.90,2501.112,-6.677"
2026-07-02T10:13:56.191662,"12, 2494.390,-4.336,2485.462,-5.820"
2026-07-02T10:13:56.192660,"13, 2479.998,-3.194,2496.852,-4.791"
2026-07-02T10:13:56.244205,"14, 2472.500,-2.911,2466.109,-4.459"
2026-07-02T10:13:56.499069,"0, 3134.933,-38.809,3161.155,-38.662"
2026-07-02T10:13:56.500072,"1, 2735.230,-28.228,2780.105,-28.360"
2026-07-02T10:13:56.500072,"2, 2620.0,-22.517,2667.450,-21.295"
2026-07-02T10:13:56.511078,"3, 2548.908,-17.960,2625.353,-17.366"
2026-07-02T10:13:56.511078,"4, 2522.41,-14.633,2566.274,-15.266"
2026-07-02T10:13:56.511078,"5, 2493.625,-13.450,2544.906,-12.808"
2026-07-02T10:13:56.512078,"6, 2472.591,-11.945,2547.697,-11.305"
2026-07-02T10:13:56.512078,"7, 2465.869,-10.312,2522.921,-10.406"
2026-07-02T10:13:56.512078,"8, 2456.465,-9.138,2514.783,-8.841"
2026-07-02T10:13:56.513078,"9, 2470.730,-8.172,2480.856,-8.494"
2026-07-02T10:13:56.513078,"10, 2452.871,-7.213,2512.94,-7.354"
2026-07-02T10:13:56.569590,"11, 2435.301,-6.960,2501.46,-6.678"
2026-07-02T10:13:56.570591,"12, 2432.749,-5.831,2485.409,-5.820"
2026-07-02T10:13:56.570591,"13, 2421.630,-5.370,2496.777,-4.792"
2026-07-02T10:13:56.570591,"14, 2451.336,-4.902,2466.94,-4.460"
2026-07-02T10:13:56.829532,"0, 3169.977,-38.682,3161.164,-38.662"
2026-07-02T10:13:56.830526,"1, 2814.897,-27.629,2780.140,-28.359"
2026-07-02T10:13:56.830526,"2, 2668.631,-21.439,2667.451,-21.295"
2026-07-02T10:13:56.841532,"3, 2601.874,-17.602,2625.329,-17.366"
2026-07-02T10:13:56.841532,"4, 2563.877,-15.494,2566.272,-15.267"
2026-07-02T10:13:56.842536,"5, 2548.438,-13.130,2544.909,-12.809"
2026-07-02T10:13:56.842536,"6, 2544.780,-11.639,2547.694,-11.305"
2026-07-02T10:13:56.842536,"7, 2524.240,-10.637,2522.922,-10.406"
2026-07-02T10:13:56.843526,"8, 2508.668,-9.234,2514.777,-8.841"
2026-07-02T10:13:56.843526,"9, 2481.424,-8.812,2480.857,-8.495"
2026-07-02T10:13:56.844527,"10, 2499.571,-7.665,2512.82,-7.354"
2026-07-02T10:13:56.910531,"11, 2496.542,-7.172,2501.42,-6.678"
2026-07-02T10:13:56.910531,"12, 2482.890,-6.535,2485.406,-5.821"
2026-07-02T10:13:56.911542,"13, 2493.37,-5.526,2496.773,-4.793"
2026-07-02T10:13:56.911542,"14, 2457.656,-5.180,2466.86,-4.461"
