timestamp,data
2026-07-02T13:32:25.568379,Project Codename: ColorfulFlower v1.1
2026-07-02T13:32:25.568379,Authors: Bilel Ben Atitallah & Ahmed Yahia Kallel
2026-07-02T13:32:25.575449,"Starting DAC, TIM3, DMA"
2026-07-02T13:32:25.575449,Calibrating ADCs
2026-07-02T13:32:25.575449,"Starting ADC1/2, TIM2, DMA"
2026-07-02T13:32:25.575449,Forwarding to main loop...
2026-07-02T13:32:25.894897,"0, 5210.6,-32.17,5210.6,-32.17"
2026-07-02T13:32:25.895895,"1, 4708.255,-22.836,4708.255,-22.836"
2026-07-02T13:32:25.895895,"2, 4681.876,-17.45,4681.876,-17.45"
2026-07-02T13:32:25.903895,"3, 4627.8,-13.556,4627.8,-13.556"
2026-07-02T13:32:25.904895,"4, 4563.527,-11.681,4563.527,-11.681"
2026-07-02T13:32:25.904895,"5, 4535.19,-9.748,4535.19,-9.748"
2026-07-02T13:32:25.905895,"6, 4526.97,-9.8,4526.97,-9.8"
2026-07-02T13:32:25.905895,"7, 4514.488,-7.898,4514.488,-7.898"
2026-07-02T13:32:25.905895,"8, 4490.199,-7.19,4490.199,-7.19"
2026-07-02T13:32:25.905895,"9, 4478.970,-6.850,4478.970,-6.850"
2026-07-02T13:32:25.968639,"10, 4486.579,-5.892,4486.579,-5.892"
2026-07-02T13:32:25.968639,"11, 4498.534,-5.461,4498.534,-5.461"
2026-07-02T13:32:25.968639,"12, 4470.132,-4.779,4470.132,-4.779"
2026-07-02T13:32:25.968639,"13, 4467.803,-4.144,4467.803,-4.144"
2026-07-02T13:32:25.968639,"14, 4458.299,-3.399,4458.299,-3.399"
2026-07-02T13:32:26.226811,"0, 5064.459,-31.105,5209.860,-32.16"
2026-07-02T13:32:26.228811,"1, 4833.629,-20.919,4708.380,-22.834"
2026-07-02T13:32:26.228811,"2, 4601.838,-16.992,4681.796,-17.45"
2026-07-02T13:32:26.295329,"3, 4530.131,-13.218,4626.911,-13.555"
2026-07-02T13:32:26.295329,"4, 4452.846,-10.510,4563.416,-11.680"
2026-07-02T13:32:26.295329,"5, 4443.158,-9.838,4534.926,-9.748"
2026-07-02T13:32:26.296329,"6, 4417.286,-8.312,4525.988,-9.7"
2026-07-02T13:32:26.296329,"7, 4421.966,-7.274,4514.395,-7.898"
2026-07-02T13:32:26.296329,"8, 4405.30,-6.239,4490.114,-7.18"
2026-07-02T13:32:26.296329,"9, 4445.770,-5.735,4478.937,-6.849"
2026-07-02T13:32:26.296329,"10, 4411.252,-4.535,4486.503,-5.891"
2026-07-02T13:32:26.344329,"11, 4373.912,-4.468,4498.409,-5.460"
2026-07-02T13:32:26.344329,"12, 4369.387,-3.730,4470.31,-4.778"
2026-07-02T13:32:26.344329,"13, 4355.750,-3.319,4467.690,-4.143"
2026-07-02T13:32:26.344329,"14, 4404.228,-2.513,4458.246,-3.398"
2026-07-02T13:32:26.550405,"0, 5265.78,-31.210,5209.916,-32.15"
2026-07-02T13:32:26.561406,"1, 4906.255,-22.866,4708.578,-22.834"
2026-07-02T13:32:26.562404,"2, 4683.983,-16.121,4681.798,-17.44"
2026-07-02T13:32:26.562404,"3, 4542.791,-13.210,4626.827,-13.555"
2026-07-02T13:32:26.562404,"4, 4568.729,-10.806,4563.422,-11.679"
2026-07-02T13:32:26.563404,"5, 4531.755,-8.813,4534.923,-9.747"
2026-07-02T13:32:26.563404,"6, 4536.117,-7.761,4525.998,-9.6"
2026-07-02T13:32:26.563404,"7, 4472.20,-6.546,4514.354,-7.896"
2026-07-02T13:32:26.563404,"8, 4532.749,-4.962,4490.156,-7.16"
2026-07-02T13:32:26.618599,"9, 4449.929,-4.805,4478.908,-6.847"
2026-07-02T13:32:26.674605,"10, 4450.381,-2.980,4486.467,-5.888"
2026-07-02T13:32:26.674605,"11, 4510.700,-2.783,4498.421,-5.457"
2026-07-02T13:32:26.675605,"12, 4471.948,-1.671,4470.32,-4.775"
2026-07-02T13:32:26.675605,"13, 4481.383,0.452,4467.704,-4.140"
2026-07-02T13:32:26.675605,"14, 4419.830,0.29,4458.208,-3.394"
2026-07-02T13:32:26.886653,"0, 5041.657,-30.822,5209.747,-32.14"
2026-07-02T13:32:26.886653,"1, 4685.586,-22.911,4708.555,-22.834"
2026-07-02T13:32:26.887656,"2, 4572.816,-17.308,4681.689,-17.45"
2026-07-02T13:32:26.952827,"3, 4581.952,-14.256,4626.782,-13.556"
2026-07-02T13:32:26.952827,"4, 4449.159,-11.104,4563.308,-11.679"
2026-07-02T13:32:26.952827,"5, 4434.534,-10.242,4534.823,-9.748"
2026-07-02T13:32:26.953827,"6, 4400.73,-9.144,4525.872,-9.6"
2026-07-02T13:32:26.953827,"7, 4420.589,-7.551,4514.260,-7.896"
2026-07-02T13:32:26.953827,"8, 4414.250,-7.37,4490.80,-7.16"
2026-07-02T13:32:27.001349,"9, 4450.144,-6.88,4478.879,-6.846"
2026-07-02T13:32:27.002350,"10, 4404.73,-5.191,4486.385,-5.887"
2026-07-02T13:32:27.002350,"11, 4371.552,-5.83,4498.294,-5.457"
2026-07-02T13:32:27.002350,"12, 4351.690,-4.583,4469.914,-4.775"
2026-07-02T13:32:27.067355,"13, 4362.161,-4.446,4467.599,-4.140"
2026-07-02T13:32:27.067355,"14, 4431.959,-3.911,4458.182,-3.395"
2026-07-02T13:32:27.216985,"0, 5070.578,-31.176,5209.608,-32.13"
2026-07-02T13:32:27.217989,"1, 4688.671,-20.451,4708.535,-22.832"
2026-07-02T13:32:27.324526,"2, 4559.661,-17.358,4681.567,-17.45"
2026-07-02T13:32:27.324526,"3, 4500.322,-14.676,4626.656,-13.557"
2026-07-02T13:32:27.325528,"4, 4451.652,-11.674,4563.196,-11.679"
2026-07-02T13:32:27.325528,"5, 4447.124,-10.700,4534.736,-9.749"
2026-07-02T13:32:27.429046,"6, 4429.549,-9.349,4525.776,-9.6"
2026-07-02T13:32:27.430048,"7, 4415.94,-8.15,4514.161,-7.896"
2026-07-02T13:32:27.430048,"8, 4423.272,-7.240,4490.13,-7.16"
2026-07-02T13:32:27.430048,"9, 4442.947,-6.511,4478.843,-6.846"
2026-07-02T13:32:27.542572,"10, 4399.585,-5.896,4486.298,-5.887"
2026-07-02T13:32:27.542572,"11, 4382.637,-5.619,4498.179,-5.457"
2026-07-02T13:32:27.542572,"12, 4374.108,-4.931,4469.818,-4.775"
2026-07-02T13:32:27.543572,"13, 4354.700,-5.127,4467.485,-4.141"
2026-07-02T13:32:27.543572,"14, 4395.291,-4.792,4458.119,-3.396"
2026-07-02T13:32:27.647752,"0, 5203.5,-32.270,5209.602,-32.14"
2026-07-02T13:32:27.648752,"1, 4695.480,-22.257,4708.522,-22.831"
2026-07-02T13:32:27.648752,"2, 4650.251,-16.805,4681.536,-17.45"
2026-07-02T13:32:27.648752,"3, 4628.275,-14.503,4626.658,-13.558"
2026-07-02T13:32:27.758939,"4, 4582.972,-12.207,4563.216,-11.679"
2026-07-02T13:32:27.759937,"5, 4539.651,-10.174,4534.741,-9.749"
2026-07-02T13:32:27.759937,"6, 4551.469,-8.919,4525.801,-9.6"
2026-07-02T13:32:27.759937,"7, 4515.69,-8.347,4514.162,-7.897"
2026-07-02T13:32:27.759937,"8, 4499.655,-6.753,4490.23,-7.16"
2026-07-02T13:32:27.760938,"9, 4461.489,-6.882,4478.825,-6.846"
2026-07-02T13:32:27.760938,"10, 4515.639,-5.959,4486.327,-5.887"
2026-07-02T13:32:27.760938,"11, 4495.124,-5.598,4498.176,-5.457"
2026-07-02T13:32:27.760938,"12, 4467.349,-4.916,4469.815,-4.775"
2026-07-02T13:32:27.761937,"13, 4485.792,-4.178,4467.504,-4.141"
2026-07-02T13:32:27.761937,"14, 4420.70,-3.667,4458.81,-3.396"
2026-07-02T13:32:27.967264,"0, 5068.393,-30.924,5209.460,-32.13"
2026-07-02T13:32:27.967264,"1, 4599.630,-21.779,4708.413,-22.830"
2026-07-02T13:32:27.968264,"2, 4517.455,-17.822,4681.372,-17.45"
2026-07-02T13:32:27.968264,"3, 4570.620,-14.71,4626.602,-13.558"
2026-07-02T13:32:27.968264,"4, 4493.670,-10.960,4563.146,-11.678"
2026-07-02T13:32:27.969264,"5, 4434.677,-10.364,4534.641,-9.750"
2026-07-02T13:32:27.969264,"6, 4386.965,-9.88,4525.662,-9.6"
2026-07-02T13:32:27.969264,"7, 4419.226,-7.675,4514.66,-7.896"
2026-07-02T13:32:27.970264,"8, 4415.445,-7.50,4489.949,-7.16"
2026-07-02T13:32:28.072786,"9, 4442.533,-6.449,4478.789,-6.846"
2026-07-02T13:32:28.073788,"10, 4384.458,-5.651,4486.225,-5.887"
2026-07-02T13:32:28.073788,"11, 4362.592,-5.723,4498.41,-5.457"
2026-07-02T13:32:28.074788,"12, 4348.447,-5.23,4469.694,-4.775"
2026-07-02T13:32:28.179303,"13, 4348.863,-4.826,4467.385,-4.142"
2026-07-02T13:32:28.179303,"14, 4417.637,-4.512,4458.40,-3.398"
2026-07-02T13:32:28.325182,"0, 5116.834,-30.491,5209.368,-32.11"
2026-07-02T13:32:28.391706,"1, 4870.199,-21.643,4708.575,-22.829"
2026-07-02T13:32:28.391706,"2, 4591.590,-17.459,4681.282,-17.46"
2026-07-02T13:32:28.391706,"3, 4582.729,-13.197,4626.558,-13.558"
2026-07-02T13:32:28.392706,"4, 4486.824,-10.767,4563.70,-11.678"
2026-07-02T13:32:28.392706,"5, 4444.581,-9.838,4534.550,-9.750"
2026-07-02T13:32:28.393706,"6, 4427.351,-8.547,4525.564,-9.6"
2026-07-02T13:32:28.393706,"7, 4412.165,-7.79,4513.964,-7.896"
2026-07-02T13:32:28.393706,"8, 4397.559,-6.324,4489.856,-7.15"
2026-07-02T13:32:28.394707,"9, 4431.295,-5.754,4478.741,-6.845"
2026-07-02T13:32:28.394707,"10, 4403.255,-4.777,4486.142,-5.886"
2026-07-02T13:32:28.494174,"11, 4388.226,-4.790,4497.931,-5.456"
2026-07-02T13:32:28.494174,"12, 4377.57,-3.758,4469.602,-4.774"
2026-07-02T13:32:28.494174,"13, 4342.893,-3.246,4467.261,-4.141"
2026-07-02T13:32:28.494174,"14, 4418.500,-2.784,4458.0,-3.397"
2026-07-02T13:32:28.648694,"0, 5574.700,-35.717,5209.733,-32.15"
2026-07-02T13:32:28.649697,"1, 5522.186,-22.727,4709.388,-22.829"
2026-07-02T13:32:28.716216,"2, 4012.773,-19.701,4680.614,-17.48"
2026-07-02T13:32:28.717214,"3, 4266.845,-27.948,4626.198,-13.572"
2026-07-02T13:32:28.717214,"4, 4564.152,-29.288,4563.71,-11.695"
2026-07-02T13:32:28.718214,"5, 4421.686,-32.485,4534.437,-9.773"
2026-07-02T13:32:28.718214,"6, 4077.617,-16.371,4525.116,-9.13"
2026-07-02T13:32:28.718214,"7, 4289.121,-27.418,4513.740,-7.915"
