Index,Magnitude,Phase,AccMagnitude,AccPhase,Label,Value_R,Value_C
0,6879.477,-58.954,6879.477,-58.954,Series_RC,3600.0,33.0
1,5302.569,-47.749,5302.569,-47.749,Series_RC,3600.0,33.0
2,4770.107,-39.8,4770.107,-39.8,Series_RC,3600.0,33.0
3,4495.421,-32.851,4495.421,-32.851,Series_RC,3600.0,33.0
4,4257.76,-28.528,4257.76,-28.528,Series_RC,3600.0,33.0
5,4128.367,-24.637,4128.367,-24.637,Series_RC,3600.0,33.0
6,4076.303,-22.322,4076.303,-22.322,Series_RC,3600.0,33.0
7,3988.791,-20.191,3988.791,-20.191,Series_RC,3600.0,33.0
8,3928.154,-17.931,3928.154,-17.931,Series_RC,3600.0,33.0
9,3860.904,-16.47,3860.904,-16.47,Series_RC,3600.0,33.0
10,3873.609,-14.536,3873.609,-14.536,Series_RC,3600.0,33.0
11,3856.858,-13.607,3856.858,-13.607,Series_RC,3600.0,33.0
12,3806.581,-11.81,3806.581,-11.81,Series_RC,3600.0,33.0
13,3808.681,-10.232,3808.681,-10.232,Series_RC,3600.0,33.0
14,3777.949,-9.265,3777.949,-9.265,Series_RC,3600.0,33.0
0,7013.179,-56.418,6879.61,-58.951,Series_RC,3600.0,33.0
1,5415.118,-48.864,5302.682,-47.75,Series_RC,3600.0,33.0
2,5061.207,-44.209,4770.398,-39.13,Series_RC,3600.0,33.0
3,4092.797,-35.349,4495.18,-32.854,Series_RC,3600.0,33.0
4,3973.527,-33.737,4256.792,-28.533,Series_RC,3600.0,33.0
5,4145.881,-34.256,4128.385,-24.646,Series_RC,3600.0,33.0
6,4397.139,-35.759,4076.624,-22.335,Series_RC,3600.0,33.0
7,3544.78,-30.303,3988.346,-20.201,Series_RC,3600.0,33.0
8,4115.877,-28.721,3928.342,-17.942,Series_RC,3600.0,33.0
9,4003.4,-22.669,3861.46,-16.477,Series_RC,3600.0,33.0
10,3795.926,-38.476,3873.531,-14.56,Series_RC,3600.0,33.0
11,3838.155,-39.84,3856.839,-13.634,Series_RC,3600.0,33.0
12,3489.962,-29.68,3806.264,-11.827,Series_RC,3600.0,33.0
13,3680.548,-32.157,3808.552,-10.254,Series_RC,3600.0,33.0
14,4061.63,-35.754,3778.233,-9.292,Series_RC,3600.0,33.0
0,6796.595,-60.294,6879.527,-58.953,Series_RC,3600.0,33.0
1,5474.206,-49.776,5302.853,-47.752,Series_RC,3600.0,33.0
2,4759.896,-38.381,4770.387,-39.12,Series_RC,3600.0,33.0
3,4459.31,-32.384,4494.982,-32.853,Series_RC,3600.0,33.0
4,4216.596,-29.37,4256.752,-28.534,Series_RC,3600.0,33.0
5,4108.716,-24.684,4128.365,-24.646,Series_RC,3600.0,33.0
6,4064.924,-22.14,4076.612,-22.335,Series_RC,3600.0,33.0
7,3977.362,-19.908,3988.335,-20.201,Series_RC,3600.0,33.0
8,3911.93,-17.75,3928.324,-17.942,Series_RC,3600.0,33.0
9,3825.897,-16.462,3861.11,-16.477,Series_RC,3600.0,33.0
10,3839.107,-14.399,3873.497,-14.56,Series_RC,3600.0,33.0
11,3806.812,-13.226,3856.789,-13.633,Series_RC,3600.0,33.0
12,3794.462,-11.309,3806.252,-11.827,Series_RC,3600.0,33.0
13,3785.47,-9.554,3808.529,-10.253,Series_RC,3600.0,33.0
14,3734.699,-8.59,3778.189,-9.291,Series_RC,3600.0,33.0
0,6877.688,-57.689,6879.525,-58.952,Series_RC,3600.0,33.0
1,5296.375,-45.564,5302.847,-47.75,Series_RC,3600.0,33.0
2,4688.625,-39.938,4770.305,-39.13,Series_RC,3600.0,33.0
3,4316.907,-32.998,4494.804,-32.853,Series_RC,3600.0,33.0
4,4199.925,-27.915,4256.695,-28.533,Series_RC,3600.0,33.0
5,4029.108,-25.88,4128.266,-24.647,Series_RC,3600.0,33.0
6,3949.694,-22.344,4076.485,-22.335,Series_RC,3600.0,33.0
7,3897.57,-19.818,3988.245,-20.201,Series_RC,3600.0,33.0
8,3840.709,-18.47,3928.237,-17.942,Series_RC,3600.0,33.0
9,3852.318,-16.67,3861.2,-16.476,Series_RC,3600.0,33.0
10,3777.961,-14.114,3873.401,-14.559,Series_RC,3600.0,33.0
11,3743.784,-13.18,3856.676,-13.633,Series_RC,3600.0,33.0
12,3718.327,-11.262,3806.164,-11.826,Series_RC,3600.0,33.0
13,3676.19,-10.792,3808.397,-10.254,Series_RC,3600.0,33.0
14,3716.199,-9.362,3778.127,-9.291,Series_RC,3600.0,33.0
0,6756.99,-57.328,6879.403,-58.95,Series_RC,3600.0,33.0
1,5226.738,-47.599,5302.77,-47.75,Series_RC,3600.0,33.0
2,4704.646,-39.313,4770.24,-39.13,Series_RC,3600.0,33.0
3,4365.724,-33.734,4494.675,-32.854,Series_RC,3600.0,33.0
4,4124.24,-27.726,4256.562,-28.532,Series_RC,3600.0,33.0
5,4020.459,-25.516,4128.158,-24.648,Series_RC,3600.0,33.0
6,3926.674,-22.432,4076.335,-22.335,Series_RC,3600.0,33.0
7,3872.274,-20.132,3988.129,-20.201,Series_RC,3600.0,33.0
8,3842.577,-18.86,3928.151,-17.942,Series_RC,3600.0,33.0
