Index,Magnitude,Phase,AccMagnitude,AccPhase,Label,Value_R,Value_C
0,5756.114,-87.972,5756.114,-87.972,Series_RC,360.0,33.0
1,3783.54,-83.961,3783.54,-83.961,Series_RC,360.0,33.0
2,2935.838,-81.623,2935.838,-81.623,Series_RC,360.0,33.0
3,2370.922,-80.6,2370.922,-80.6,Series_RC,360.0,33.0
4,1981.242,-78.409,1981.242,-78.409,Series_RC,360.0,33.0
5,1714.897,-76.331,1714.897,-76.331,Series_RC,360.0,33.0
6,1539.172,-74.41,1539.172,-74.41,Series_RC,360.0,33.0
7,1365.86,-72.817,1365.86,-72.817,Series_RC,360.0,33.0
8,1241.939,-71.225,1241.939,-71.225,Series_RC,360.0,33.0
9,1116.995,-69.991,1116.995,-69.991,Series_RC,360.0,33.0
10,990.231,-66.577,990.231,-66.577,Series_RC,360.0,33.0
11,933.973,-64.69,933.973,-64.69,Series_RC,360.0,33.0
12,839.343,-61.6,839.343,-61.6,Series_RC,360.0,33.0
13,768.84,-57.981,768.84,-57.981,Series_RC,360.0,33.0
14,698.467,-55.652,698.467,-55.652,Series_RC,360.0,33.0
0,5760.376,-87.477,5756.118,-87.972,Series_RC,360.0,33.0
1,3918.799,-82.702,3783.675,-83.96,Series_RC,360.0,33.0
2,2913.88,-80.652,2935.815,-81.622,Series_RC,360.0,33.0
3,2383.755,-80.13,2370.935,-80.599,Series_RC,360.0,33.0
4,1980.121,-77.336,1981.241,-78.408,Series_RC,360.0,33.0
5,1696.628,-73.994,1714.879,-76.329,Series_RC,360.0,33.0
6,1486.778,-69.815,1539.12,-74.37,Series_RC,360.0,33.0
7,1423.451,-69.909,1365.144,-72.814,Series_RC,360.0,33.0
8,1222.284,-69.528,1241.919,-71.223,Series_RC,360.0,33.0
9,1129.291,-66.745,1117.8,-69.988,Series_RC,360.0,33.0
10,1001.618,-61.618,990.243,-66.573,Series_RC,360.0,33.0
11,910.174,-59.759,933.949,-64.685,Series_RC,360.0,33.0
12,826.639,-56.529,839.33,-61.594,Series_RC,360.0,33.0
13,771.604,-54.69,768.88,-57.977,Series_RC,360.0,33.0
14,690.326,-51.776,698.459,-55.648,Series_RC,360.0,33.0
0,5688.312,-87.612,5756.51,-87.972,Series_RC,360.0,33.0
1,3840.494,-85.655,3783.731,-83.962,Series_RC,360.0,33.0
2,2964.597,-81.736,2935.844,-81.622,Series_RC,360.0,33.0
3,2375.695,-79.953,2370.94,-80.599,Series_RC,360.0,33.0
4,1973.454,-78.799,1981.233,-78.408,Series_RC,360.0,33.0
5,1726.541,-76.507,1714.89,-76.329,Series_RC,360.0,33.0
6,1544.947,-74.235,1539.126,-74.37,Series_RC,360.0,33.0
7,1371.918,-73.3,1365.151,-72.814,Series_RC,360.0,33.0
8,1236.954,-71.35,1241.914,-71.223,Series_RC,360.0,33.0
9,1119.959,-69.801,1117.11,-69.987,Series_RC,360.0,33.0
10,991.248,-66.665,990.244,-66.573,Series_RC,360.0,33.0
11,934.403,-64.834,933.949,-64.686,Series_RC,360.0,33.0
12,846.305,-61.519,839.337,-61.594,Series_RC,360.0,33.0
13,767.5,-58.299,768.86,-57.978,Series_RC,360.0,33.0
14,699.661,-55.884,698.46,-55.649,Series_RC,360.0,33.0
0,5788.375,-85.937,5756.83,-87.97,Series_RC,360.0,33.0
1,3910.509,-84.326,3783.858,-83.962,Series_RC,360.0,33.0
2,2913.451,-80.168,2935.821,-81.621,Series_RC,360.0,33.0
3,2380.2,-78.476,2370.949,-80.597,Series_RC,360.0,33.0
4,1961.205,-78.526,1981.213,-78.408,Series_RC,360.0,33.0
5,1770.626,-75.489,1714.946,-76.328,Series_RC,360.0,33.0
6,1536.239,-71.565,1539.123,-74.35,Series_RC,360.0,33.0
7,1367.3,-70.76,1365.153,-72.811,Series_RC,360.0,33.0
8,1207.14,-69.509,1241.879,-71.222,Series_RC,360.0,33.0
9,1140.552,-66.304,1117.34,-69.984,Series_RC,360.0,33.0
10,979.497,-64.208,990.233,-66.57,Series_RC,360.0,33.0
11,906.6,-63.299,933.922,-64.684,Series_RC,360.0,33.0
12,853.103,-56.944,839.351,-61.59,Series_RC,360.0,33.0
13,747.1,-53.352,768.65,-57.973,Series_RC,360.0,33.0
14,701.691,-49.991,698.463,-55.643,Series_RC,360.0,33.0
0,5763.575,-87.567,5756.91,-87.969,Series_RC,360.0,33.0
1,3818.136,-85.75,3783.893,-83.964,Series_RC,360.0,33.0
2,2957.484,-81.745,2935.843,-81.621,Series_RC,360.0,33.0
3,2380.982,-80.2,2370.959,-80.596,Series_RC,360.0,33.0
4,1969.38,-78.574,1981.201,-78.408,Series_RC,360.0,33.0
5,1728.644,-76.656,1714.96,-76.329,Series_RC,360.0,33.0
6,1545.939,-74.186,1539.13,-74.35,Series_RC,360.0,33.0
7,1371.559,-72.836,1365.159,-72.811,Series_RC,360.0,33.0
8,1245.482,-71.591,1241.883,-71.222,Series_RC,360.0,33.0
9,1131.122,-70.48,1117.48,-69.984,Series_RC,360.0,33.0
10,990.16,-66.553,990.233,-66.57,Series_RC,360.0,33.0
11,938.748,-64.832,933.926,-64.684,Series_RC,360.0,33.0
12,844.872,-62.77,839.357,-61.59,Series_RC,360.0,33.0
13,775.109,-58.812,768.72,-57.974,Series_RC,360.0,33.0
14,704.826,-56.194,698.469,-55.644,Series_RC,360.0,33.0
0,5782.7,-87.495,5756.117,-87.969,Series_RC,360.0,33.0
1,3887.821,-85.63,3783.996,-83.966,Series_RC,360.0,33.0
2,2956.569,-81.275,2935.864,-81.62,Series_RC,360.0,33.0
3,2336.404,-80.353,2370.925,-80.596,Series_RC,360.0,33.0
4,1974.401,-78.348,1981.194,-78.408,Series_RC,360.0,33.0
5,1708.597,-76.361,1714.953,-76.329,Series_RC,360.0,33.0
6,1532.265,-74.9,1539.123,-74.35,Series_RC,360.0,33.0
7,1360.686,-72.654,1365.155,-72.811,Series_RC,360.0,33.0
8,1232.851,-71.321,1241.874,-71.222,Series_RC,360.0,33.0
9,1118.99,-69.753,1117.5,-69.983,Series_RC,360.0,33.0
10,981.216,-66.532,990.223,-66.57,Series_RC,360.0,33.0
11,928.304,-64.558,933.921,-64.684,Series_RC,360.0,33.0
12,839.735,-61.132,839.357,-61.59,Series_RC,360.0,33.0
13,758.321,-57.617,768.63,-57.974,Series_RC,360.0,33.0
14,689.51,-55.173,698.46,-55.643,Series_RC,360.0,33.0
0,5753.188,-86.861,5756.114,-87.968,Series_RC,360.0,33.0
1,3784.934,-85.18,3783.997,-83.967,Series_RC,360.0,33.0
2,2957.831,-82.2,2935.886,-81.621,Series_RC,360.0,33.0
3,2364.395,-80.776,2370.918,-80.596,Series_RC,360.0,33.0
4,1962.558,-78.425,1981.176,-78.408,Series_RC,360.0,33.0
5,1716.652,-76.935,1714.955,-76.329,Series_RC,360.0,33.0
6,1532.783,-74.527,1539.117,-74.35,Series_RC,360.0,33.0
7,1358.254,-73.265,1365.148,-72.812,Series_RC,360.0,33.0
8,1240.621,-71.738,1241.873,-71.223,Series_RC,360.0,33.0
9,1123.92,-70.49,1117.57,-69.984,Series_RC,360.0,33.0
10,988.94,-67.17,990.222,-66.571,Series_RC,360.0,33.0
11,932.442,-65.352,933.919,-64.685,Series_RC,360.0,33.0
12,839.842,-62.499,839.357,-61.591,Series_RC,360.0,33.0
13,766.851,-59.296,768.62,-57.975,Series_RC,360.0,33.0
14,696.571,-56.505,698.459,-55.644,Series_RC,360.0,33.0
0,5812.937,-87.823,5756.171,-87.967,Series_RC,360.0,33.0
1,3890.516,-83.306,3784.104,-83.966,Series_RC,360.0,33.0
2,2975.383,-81.689,2935.925,-81.621,Series_RC,360.0,33.0
3,2372.96,-80.329,2370.921,-80.596,Series_RC,360.0,33.0
4,1974.632,-78.584,1981.169,-78.409,Series_RC,360.0,33.0
5,1720.767,-76.291,1714.961,-76.329,Series_RC,360.0,33.0
6,1542.91,-74.28,1539.12,-74.35,Series_RC,360.0,33.0
7,1374.833,-72.671,1365.158,-72.812,Series_RC,360.0,33.0
8,1246.127,-71.152,1241.877,-71.222,Series_RC,360.0,33.0
9,1129.506,-69.662,1117.7,-69.984,Series_RC,360.0,33.0
10,988.788,-66.4,990.221,-66.571,Series_RC,360.0,33.0
11,935.792,-64.409,933.921,-64.685,Series_RC,360.0,33.0
12,851.768,-61.36,839.37,-61.59,Series_RC,360.0,33.0
13,772.457,-57.913,768.66,-57.975,Series_RC,360.0,33.0
14,700.764,-55.308,698.461,-55.644,Series_RC,360.0,33.0
0,5838.525,-89.322,5756.254,-87.969,Series_RC,360.0,33.0
1,4012.349,-85.63,3784.332,-83.967,Series_RC,360.0,33.0
2,2984.367,-84.358,2935.974,-81.623,Series_RC,360.0,33.0
3,2388.654,-82.313,2370.938,-80.598,Series_RC,360.0,33.0
4,1998.968,-79.475,1981.187,-78.41,Series_RC,360.0,33.0
5,1735.138,-78.975,1714.981,-76.332,Series_RC,360.0,33.0
6,1565.725,-76.914,1539.146,-74.38,Series_RC,360.0,33.0
7,1384.13,-75.25,1365.177,-72.814,Series_RC,360.0,33.0
8,1255.155,-73.551,1241.89,-71.225,Series_RC,360.0,33.0
9,1134.885,-72.385,1117.88,-69.986,Series_RC,360.0,33.0
10,999.495,-68.936,990.23,-66.573,Series_RC,360.0,33.0
11,933.802,-67.66,933.921,-64.688,Series_RC,360.0,33.0
12,827.688,-64.718,839.358,-61.594,Series_RC,360.0,33.0
13,757.216,-62.742,768.55,-57.98,Series_RC,360.0,33.0
14,701.34,-59.739,698.464,-55.648,Series_RC,360.0,33.0
0,5801.882,-87.913,5756.299,-87.969,Series_RC,360.0,33.0
1,3796.205,-85.519,3784.344,-83.969,Series_RC,360.0,33.0
2,2958.515,-81.965,2935.996,-81.624,Series_RC,360.0,33.0
3,2359.13,-79.646,2370.927,-80.597,Series_RC,360.0,33.0
4,1968.909,-78.389,1981.174,-78.41,Series_RC,360.0,33.0
5,1719.199,-76.742,1714.985,-76.332,Series_RC,360.0,33.0
6,1546.444,-74.29,1539.154,-74.38,Series_RC,360.0,33.0
7,1374.916,-72.969,1365.187,-72.814,Series_RC,360.0,33.0
8,1248.992,-71.569,1241.898,-71.225,Series_RC,360.0,33.0
9,1127.8,-70.59,1117.97,-69.986,Series_RC,360.0,33.0
10,991.826,-66.741,990.232,-66.573,Series_RC,360.0,33.0
11,936.96,-64.972,933.923,-64.688,Series_RC,360.0,33.0
12,848.878,-62.299,839.368,-61.594,Series_RC,360.0,33.0
13,775.451,-58.623,768.62,-57.98,Series_RC,360.0,33.0
14,707.81,-56.565,698.472,-55.649,Series_RC,360.0,33.0
0,5879.821,-88.144,5756.423,-87.969,Series_RC,360.0,33.0
1,4013.149,-86.68,3784.573,-83.971,Series_RC,360.0,33.0
2,2986.377,-83.453,2936.47,-81.626,Series_RC,360.0,33.0
3,2376.622,-82.2,2370.932,-80.598,Series_RC,360.0,33.0
4,2011.33,-79.611,1981.204,-78.411,Series_RC,360.0,33.0
5,1729.148,-78.666,1714.999,-76.335,Series_RC,360.0,33.0
6,1557.42,-76.563,1539.172,-74.41,Series_RC,360.0,33.0
7,1378.315,-75.229,1365.2,-72.817,Series_RC,360.0,33.0
8,1246.898,-73.476,1241.903,-71.227,Series_RC,360.0,33.0
9,1129.611,-72.96,1117.11,-69.988,Series_RC,360.0,33.0
