Index,Magnitude,Phase,AccMagnitude,AccPhase,Label,Value_R,Value_C
0,2476.196,0.124,2476.196,0.124,Resistor,2400.0,0.0
1,2450.208,0.784,2450.208,0.784,Resistor,2400.0,0.0
2,2462.426,0.53,2462.426,0.53,Resistor,2400.0,0.0
3,2464.145,0.234,2464.145,0.234,Resistor,2400.0,0.0
4,2455.909,0.299,2455.909,0.299,Resistor,2400.0,0.0
5,2464.452,0.182,2464.452,0.182,Resistor,2400.0,0.0
6,2472.322,0.55,2472.322,0.55,Resistor,2400.0,0.0
7,2466.35,0.124,2466.35,0.124,Resistor,2400.0,0.0
8,2459.476,0.36,2459.476,0.36,Resistor,2400.0,0.0
9,2442.865,0.266,2442.865,0.266,Resistor,2400.0,0.0
10,2463.329,0.201,2463.329,0.201,Resistor,2400.0,0.0
11,2467.969,0.89,2467.969,0.89,Resistor,2400.0,0.0
12,2467.195,0.268,2467.195,0.268,Resistor,2400.0,0.0
13,2480.8,0.113,2480.8,0.113,Resistor,2400.0,0.0
14,2445.789,0.29,2445.789,0.29,Resistor,2400.0,0.0
0,2427.811,0.243,2476.148,0.123,Resistor,2400.0,0.0
1,2449.592,0.181,2450.207,0.783,Resistor,2400.0,0.0
2,2434.966,0.2,2462.398,0.53,Resistor,2400.0,0.0
3,2426.919,0.103,2464.108,0.234,Resistor,2400.0,0.0
4,2432.357,0.263,2455.885,0.298,Resistor,2400.0,0.0
5,2428.454,0.7,2464.416,0.182,Resistor,2400.0,0.0
6,2425.597,0.193,2472.275,0.55,Resistor,2400.0,0.0
7,2436.157,0.408,2466.32,0.123,Resistor,2400.0,0.0
8,2423.41,0.328,2459.44,0.37,Resistor,2400.0,0.0
9,2442.803,0.404,2442.865,0.265,Resistor,2400.0,0.0
10,2434.763,0.412,2463.301,0.2,Resistor,2400.0,0.0
11,2430.381,0.361,2467.932,0.89,Resistor,2400.0,0.0
12,2426.712,0.407,2467.155,0.267,Resistor,2400.0,0.0
13,2426.805,0.297,2480.26,0.114,Resistor,2400.0,0.0
14,2437.414,0.448,2445.78,0.3,Resistor,2400.0,0.0
0,2472.986,0.36,2476.145,0.123,Resistor,2400.0,0.0
1,2477.206,0.142,2450.234,0.782,Resistor,2400.0,0.0
2,2460.671,0.468,2462.397,0.53,Resistor,2400.0,0.0
3,2441.95,0.154,2464.85,0.234,Resistor,2400.0,0.0
4,2454.585,0.12,2455.884,0.298,Resistor,2400.0,0.0
5,2467.335,0.217,2464.419,0.182,Resistor,2400.0,0.0
6,2465.79,0.273,2472.269,0.55,Resistor,2400.0,0.0
7,2466.625,0.21,2466.32,0.123,Resistor,2400.0,0.0
8,2460.466,0.109,2459.441,0.37,Resistor,2400.0,0.0
9,2442.542,0.227,2442.865,0.265,Resistor,2400.0,0.0
10,2448.681,0.261,2463.286,0.2,Resistor,2400.0,0.0
11,2465.473,0.529,2467.929,0.89,Resistor,2400.0,0.0
12,2462.848,0.282,2467.151,0.267,Resistor,2400.0,0.0
13,2467.542,0.669,2480.14,0.114,Resistor,2400.0,0.0
14,2446.466,0.683,2445.781,0.31,Resistor,2400.0,0.0
0,2423.608,0.359,2476.92,0.122,Resistor,2400.0,0.0
1,2403.232,0.195,2450.187,0.781,Resistor,2400.0,0.0
2,2426.2,0.39,2462.36,0.53,Resistor,2400.0,0.0
3,2441.6,0.315,2464.62,0.233,Resistor,2400.0,0.0
4,2435.728,0.37,2455.864,0.298,Resistor,2400.0,0.0
5,2427.317,0.274,2464.382,0.181,Resistor,2400.0,0.0
6,2432.638,0.204,2472.229,0.55,Resistor,2400.0,0.0
7,2434.724,0.71,2466.288,0.123,Resistor,2400.0,0.0
8,2436.793,0.88,2459.418,0.36,Resistor,2400.0,0.0
9,2444.927,0.6,2442.867,0.265,Resistor,2400.0,0.0
10,2440.404,0.115,2463.263,0.2,Resistor,2400.0,0.0
11,2431.377,0.379,2467.892,0.89,Resistor,2400.0,0.0
12,2423.136,0.215,2467.107,0.267,Resistor,2400.0,0.0
13,2421.481,0.564,2479.955,0.114,Resistor,2400.0,0.0
14,2442.98,0.486,2445.777,0.3,Resistor,2400.0,0.0
0,2475.585,0.22,2476.92,0.122,Resistor,2400.0,0.0
1,2485.703,0.223,2450.223,0.781,Resistor,2400.0,0.0
2,2462.364,0.584,2462.36,0.54,Resistor,2400.0,0.0
3,2469.382,0.454,2464.67,0.233,Resistor,2400.0,0.0
4,2465.126,0.37,2455.874,0.298,Resistor,2400.0,0.0
5,2470.614,0.453,2464.389,0.182,Resistor,2400.0,0.0
6,2482.798,0.536,2472.24,0.54,Resistor,2400.0,0.0
7,2475.543,0.369,2466.298,0.123,Resistor,2400.0,0.0
