Index,Magnitude,Phase,AccMagnitude,AccPhase,Label,Value_R,Value_C
0,3671.776,-85.149,3671.776,-85.149,Series_RC,360.0,47.0
1,2446.763,-80.688,2446.763,-80.688,Series_RC,360.0,47.0
2,1897.3,-77.758,1897.3,-77.758,Series_RC,360.0,47.0
3,1543.108,-75.334,1543.108,-75.334,Series_RC,360.0,47.0
4,1304.275,-72.536,1304.275,-72.536,Series_RC,360.0,47.0
5,1133.901,-69.553,1133.901,-69.553,Series_RC,360.0,47.0
6,1025.71,-66.616,1025.71,-66.616,Series_RC,360.0,47.0
7,922.204,-64.568,922.204,-64.568,Series_RC,360.0,47.0
8,842.41,-62.535,842.41,-62.535,Series_RC,360.0,47.0
9,764.165,-60.503,764.165,-60.503,Series_RC,360.0,47.0
10,693.651,-56.544,693.651,-56.544,Series_RC,360.0,47.0
11,664.817,-54.231,664.817,-54.231,Series_RC,360.0,47.0
12,615.176,-50.36,615.176,-50.36,Series_RC,360.0,47.0
13,568.61,-46.427,568.61,-46.427,Series_RC,360.0,47.0
14,527.918,-43.56,527.918,-43.56,Series_RC,360.0,47.0
0,3720.69,-85.305,3671.825,-85.149,Series_RC,360.0,47.0
1,2471.374,-82.115,2446.787,-80.69,Series_RC,360.0,47.0
2,1902.126,-77.933,1897.8,-77.758,Series_RC,360.0,47.0
3,1521.56,-75.222,1543.86,-75.333,Series_RC,360.0,47.0
4,1294.397,-72.874,1304.265,-72.536,Series_RC,360.0,47.0
5,1132.803,-70.151,1133.9,-69.553,Series_RC,360.0,47.0
6,1029.391,-66.876,1025.714,-66.616,Series_RC,360.0,47.0
7,920.113,-65.91,922.202,-64.568,Series_RC,360.0,47.0
8,843.491,-63.29,842.43,-62.535,Series_RC,360.0,47.0
9,769.824,-61.353,764.171,-60.504,Series_RC,360.0,47.0
10,694.634,-57.269,693.652,-56.545,Series_RC,360.0,47.0
11,664.819,-54.725,664.817,-54.231,Series_RC,360.0,47.0
12,613.839,-51.19,615.174,-50.361,Series_RC,360.0,47.0
13,570.656,-47.84,568.612,-46.427,Series_RC,360.0,47.0
14,530.18,-44.563,527.92,-43.57,Series_RC,360.0,47.0
0,3751.887,-86.31,3671.905,-85.15,Series_RC,360.0,47.0
1,2530.779,-83.488,2446.871,-80.693,Series_RC,360.0,47.0
2,1932.28,-80.202,1897.43,-77.761,Series_RC,360.0,47.0
3,1535.79,-77.732,1543.78,-75.336,Series_RC,360.0,47.0
4,1309.377,-74.541,1304.271,-72.538,Series_RC,360.0,47.0
5,1140.168,-72.901,1133.907,-69.556,Series_RC,360.0,47.0
6,1030.813,-70.43,1025.719,-66.62,Series_RC,360.0,47.0
7,922.412,-67.919,922.202,-64.571,Series_RC,360.0,47.0
8,838.929,-65.942,842.4,-62.539,Series_RC,360.0,47.0
9,765.198,-63.551,764.172,-60.507,Series_RC,360.0,47.0
10,689.382,-60.52,693.648,-56.549,Series_RC,360.0,47.0
11,650.16,-57.888,664.802,-54.235,Series_RC,360.0,47.0
12,591.924,-54.105,615.151,-50.364,Series_RC,360.0,47.0
13,542.121,-51.36,568.586,-46.432,Series_RC,360.0,47.0
14,519.433,-47.746,527.912,-43.62,Series_RC,360.0,47.0
0,3680.728,-83.909,3671.914,-85.149,Series_RC,360.0,47.0
1,2555.734,-79.866,2446.98,-80.692,Series_RC,360.0,47.0
2,1908.394,-76.591,1897.55,-77.76,Series_RC,360.0,47.0
3,1505.143,-73.1,1543.4,-75.333,Series_RC,360.0,47.0
4,1289.488,-70.15,1304.256,-72.536,Series_RC,360.0,47.0
5,1138.739,-68.588,1133.911,-69.556,Series_RC,360.0,47.0
6,1028.941,-65.21,1025.722,-66.618,Series_RC,360.0,47.0
7,902.437,-62.211,922.182,-64.569,Series_RC,360.0,47.0
8,847.559,-60.24,842.45,-62.536,Series_RC,360.0,47.0
9,758.57,-56.588,764.166,-60.503,Series_RC,360.0,47.0
10,687.386,-53.404,693.642,-56.546,Series_RC,360.0,47.0
11,661.79,-50.784,664.798,-54.232,Series_RC,360.0,47.0
12,614.91,-44.994,615.15,-50.359,Series_RC,360.0,47.0
13,555.157,-40.139,568.572,-46.426,Series_RC,360.0,47.0
14,523.992,-36.372,527.908,-43.55,Series_RC,360.0,47.0
0,3868.186,-91.898,3672.11,-85.155,Series_RC,360.0,47.0
1,2420.49,-86.4,2446.953,-80.698,Series_RC,360.0,47.0
2,2075.78,-84.611,1897.233,-77.766,Series_RC,360.0,47.0
3,1601.133,-88.121,1543.98,-75.346,Series_RC,360.0,47.0
4,1304.281,-73.36,1304.256,-72.537,Series_RC,360.0,47.0
5,1022.725,-82.247,1133.8,-69.568,Series_RC,360.0,47.0
6,1078.15,-86.473,1025.774,-66.638,Series_RC,360.0,47.0
7,863.907,-83.37,922.124,-64.588,Series_RC,360.0,47.0
8,1023.691,-77.504,842.227,-62.551,Series_RC,360.0,47.0
9,689.732,-77.147,764.91,-60.52,Series_RC,360.0,47.0
10,662.69,-73.668,693.611,-56.563,Series_RC,360.0,47.0
11,777.578,-68.974,664.911,-54.246,Series_RC,360.0,47.0
12,595.36,-71.188,615.13,-50.38,Series_RC,360.0,47.0
13,641.945,-78.35,568.646,-46.458,Series_RC,360.0,47.0
