Index,Magnitude,Phase,AccMagnitude,AccPhase,Label,Value_R,Value_C
0,3104.895,-33.168,3104.895,-33.168,Parallel_RC,3600.0,33.0
1,2607.301,-43.44,2607.301,-43.44,Parallel_RC,3600.0,33.0
2,2271.128,-50.103,2271.128,-50.103,Parallel_RC,3600.0,33.0
3,1947.919,-57.109,1947.919,-57.109,Parallel_RC,3600.0,33.0
4,1698.82,-61.936,1698.82,-61.936,Parallel_RC,3600.0,33.0
5,1492.864,-64.434,1492.864,-64.434,Parallel_RC,3600.0,33.0
6,1360.89,-66.844,1360.89,-66.844,Parallel_RC,3600.0,33.0
7,1219.358,-69.572,1219.358,-69.572,Parallel_RC,3600.0,33.0
8,1095.233,-71.49,1095.233,-71.49,Parallel_RC,3600.0,33.0
9,995.323,-72.774,995.323,-72.774,Parallel_RC,3600.0,33.0
10,866.491,-74.638,866.491,-74.638,Parallel_RC,3600.0,33.0
11,813.468,-75.455,813.468,-75.455,Parallel_RC,3600.0,33.0
12,724.21,-76.759,724.21,-76.759,Parallel_RC,3600.0,33.0
13,648.54,-77.678,648.54,-77.678,Parallel_RC,3600.0,33.0
14,574.119,-78.397,574.119,-78.397,Parallel_RC,3600.0,33.0
0,3207.94,-33.788,3104.998,-33.168,Parallel_RC,3600.0,33.0
1,2664.878,-43.979,2607.359,-43.44,Parallel_RC,3600.0,33.0
2,2353.905,-52.834,2271.211,-50.106,Parallel_RC,3600.0,33.0
3,2007.46,-58.744,1947.979,-57.111,Parallel_RC,3600.0,33.0
4,1723.202,-62.987,1698.844,-61.937,Parallel_RC,3600.0,33.0
5,1517.212,-66.845,1492.889,-64.436,Parallel_RC,3600.0,33.0
6,1410.845,-68.172,1360.14,-66.845,Parallel_RC,3600.0,33.0
7,1248.145,-70.828,1219.387,-69.573,Parallel_RC,3600.0,33.0
8,1123.43,-72.565,1095.261,-71.5,Parallel_RC,3600.0,33.0
9,1025.41,-74.814,995.353,-72.776,Parallel_RC,3600.0,33.0
10,887.96,-76.62,866.512,-74.639,Parallel_RC,3600.0,33.0
11,822.913,-77.301,813.478,-75.457,Parallel_RC,3600.0,33.0
12,726.552,-78.387,724.212,-76.76,Parallel_RC,3600.0,33.0
13,655.284,-79.817,648.61,-77.68,Parallel_RC,3600.0,33.0
14,588.627,-81.8,574.133,-78.399,Parallel_RC,3600.0,33.0
0,3100.685,-32.695,3104.993,-33.168,Parallel_RC,3600.0,33.0
1,2614.856,-43.158,2607.366,-43.44,Parallel_RC,3600.0,33.0
2,2280.937,-50.128,2271.221,-50.106,Parallel_RC,3600.0,33.0
3,1953.31,-57.12,1947.984,-57.111,Parallel_RC,3600.0,33.0
4,1703.392,-62.126,1698.848,-61.937,Parallel_RC,3600.0,33.0
5,1501.379,-64.279,1492.897,-64.436,Parallel_RC,3600.0,33.0
6,1359.991,-66.733,1360.14,-66.845,Parallel_RC,3600.0,33.0
7,1222.21,-69.755,1219.389,-69.573,Parallel_RC,3600.0,33.0
8,1093.564,-71.4,1095.259,-71.5,Parallel_RC,3600.0,33.0
9,994.428,-72.976,995.353,-72.777,Parallel_RC,3600.0,33.0
10,862.351,-74.5,866.508,-74.639,Parallel_RC,3600.0,33.0
11,810.869,-75.572,813.475,-75.457,Parallel_RC,3600.0,33.0
12,727.2,-77.14,724.215,-76.76,Parallel_RC,3600.0,33.0
13,647.35,-77.169,648.6,-77.68,Parallel_RC,3600.0,33.0
14,570.511,-78.466,574.129,-78.399,Parallel_RC,3600.0,33.0
0,3101.799,-31.5,3104.99,-33.166,Parallel_RC,3600.0,33.0
1,2619.639,-41.579,2607.378,-43.438,Parallel_RC,3600.0,33.0
2,2231.779,-48.941,2271.181,-50.105,Parallel_RC,3600.0,33.0
3,1886.506,-54.495,1947.922,-57.108,Parallel_RC,3600.0,33.0
4,1718.16,-57.571,1698.868,-61.933,Parallel_RC,3600.0,33.0
5,1482.74,-62.742,1492.886,-64.434,Parallel_RC,3600.0,33.0
6,1375.165,-63.749,1360.155,-66.842,Parallel_RC,3600.0,33.0
7,1206.862,-66.667,1219.377,-69.57,Parallel_RC,3600.0,33.0
8,1113.81,-66.215,1095.277,-71.45,Parallel_RC,3600.0,33.0
9,994.548,-66.718,995.352,-72.771,Parallel_RC,3600.0,33.0
10,865.53,-69.48,866.506,-74.634,Parallel_RC,3600.0,33.0
11,828.81,-68.802,813.49,-75.451,Parallel_RC,3600.0,33.0
12,732.723,-69.906,724.224,-76.754,Parallel_RC,3600.0,33.0
13,652.413,-69.521,648.64,-77.672,Parallel_RC,3600.0,33.0
14,555.478,-69.19,574.111,-78.39,Parallel_RC,3600.0,33.0
0,3090.351,-32.963,3104.975,-33.166,Parallel_RC,3600.0,33.0
1,2652.287,-44.848,2607.423,-43.439,Parallel_RC,3600.0,33.0
2,2266.66,-51.1,2271.176,-50.106,Parallel_RC,3600.0,33.0
3,1927.677,-57.586,1947.902,-57.109,Parallel_RC,3600.0,33.0
4,1686.102,-62.393,1698.855,-61.933,Parallel_RC,3600.0,33.0
5,1495.375,-64.905,1492.889,-64.435,Parallel_RC,3600.0,33.0
6,1350.714,-67.401,1360.145,-66.843,Parallel_RC,3600.0,33.0
7,1215.617,-70.83,1219.373,-69.571,Parallel_RC,3600.0,33.0
8,1097.848,-71.625,1095.28,-71.46,Parallel_RC,3600.0,33.0
9,995.149,-73.411,995.351,-72.771,Parallel_RC,3600.0,33.0
10,861.671,-75.117,866.501,-74.634,Parallel_RC,3600.0,33.0
11,807.547,-76.273,813.485,-75.452,Parallel_RC,3600.0,33.0
12,722.54,-77.881,724.222,-76.755,Parallel_RC,3600.0,33.0
13,644.6,-78.567,648.61,-77.673,Parallel_RC,3600.0,33.0
14,571.962,-79.514,574.109,-78.391,Parallel_RC,3600.0,33.0
