Index,Magnitude,Phase,AccMagnitude,AccPhase,Label,Value_R,Value_C
2,2963.555,-7.22,3067.483,0.211,Resistor,3000.0,0.0
3,3244.194,-8.373,3078.306,0.274,Resistor,3000.0,0.0
4,3033.554,-14.512,3074.181,0.151,Resistor,3000.0,0.0
5,2919.88,-4.223,3072.966,0.87,Resistor,3000.0,0.0
6,2908.354,-8.732,3085.371,0.6,Resistor,3000.0,0.0
7,3416.115,-7.876,3072.205,0.5,Resistor,3000.0,0.0
8,2871.458,-12.614,3073.605,0.69,Resistor,3000.0,0.0
9,3393.314,-21.966,3055.796,0.197,Resistor,3000.0,0.0
10,2886.988,-17.441,3062.382,0.243,Resistor,3000.0,0.0
11,3326.839,-18.951,3071.481,0.128,Resistor,3000.0,0.0
12,2858.882,-30.266,3061.866,0.41,Resistor,3000.0,0.0
13,3434.814,-35.337,3088.839,0.88,Resistor,3000.0,0.0
14,3102.559,-40.721,3052.673,0.11,Resistor,3000.0,0.0
0,3077.903,0.476,3066.736,0.149,Resistor,3000.0,0.0
1,3036.606,0.63,3056.32,0.616,Resistor,3000.0,0.0
2,3071.695,0.264,3067.488,0.212,Resistor,3000.0,0.0
3,3046.85,0.357,3078.274,0.274,Resistor,3000.0,0.0
4,3067.729,0.182,3074.175,0.151,Resistor,3000.0,0.0
5,3075.595,0.362,3072.969,0.86,Resistor,3000.0,0.0
6,3059.839,0.119,3085.345,0.6,Resistor,3000.0,0.0
7,3072.706,0.327,3072.205,0.5,Resistor,3000.0,0.0
8,3066.148,0.33,3073.597,0.68,Resistor,3000.0,0.0
9,3057.914,0.452,3055.798,0.197,Resistor,3000.0,0.0
10,3074.874,0.317,3062.394,0.244,Resistor,3000.0,0.0
11,3072.912,0.238,3071.483,0.128,Resistor,3000.0,0.0
12,3067.744,0.218,3061.872,0.41,Resistor,3000.0,0.0
13,3062.37,0.204,3088.813,0.87,Resistor,3000.0,0.0
14,3052.958,0.255,3052.673,0.11,Resistor,3000.0,0.0
0,3005.446,0.68,3066.675,0.148,Resistor,3000.0,0.0
1,3018.193,0.604,3055.994,0.616,Resistor,3000.0,0.0
2,3023.4,0.433,3067.443,0.212,Resistor,3000.0,0.0
3,3047.342,0.34,3078.243,0.274,Resistor,3000.0,0.0
4,3006.602,0.666,3074.107,0.151,Resistor,3000.0,0.0
5,3026.234,0.495,3072.922,0.87,Resistor,3000.0,0.0
6,3022.2,0.511,3085.282,0.6,Resistor,3000.0,0.0
7,3022.529,0.747,3072.156,0.49,Resistor,3000.0,0.0
8,3016.464,0.958,3073.54,0.69,Resistor,3000.0,0.0
9,3035.714,1.62,3055.778,0.196,Resistor,3000.0,0.0
10,3032.573,1.14,3062.364,0.242,Resistor,3000.0,0.0
11,3020.694,1.132,3071.432,0.126,Resistor,3000.0,0.0
12,3026.67,1.396,3061.837,0.39,Resistor,3000.0,0.0
13,3012.535,1.521,3088.736,0.89,Resistor,3000.0,0.0
14,3030.945,1.855,3052.652,0.108,Resistor,3000.0,0.0
0,3003.798,0.33,3066.612,0.148,Resistor,3000.0,0.0
1,3055.111,0.573,3055.993,0.615,Resistor,3000.0,0.0
2,3030.563,0.201,3067.406,0.211,Resistor,3000.0,0.0
3,3048.358,0.716,3078.214,0.273,Resistor,3000.0,0.0
4,3029.41,0.163,3074.62,0.15,Resistor,3000.0,0.0
5,3025.59,0.418,3072.874,0.86,Resistor,3000.0,0.0
6,3027.54,0.38,3085.224,0.6,Resistor,3000.0,0.0
7,3019.769,0.74,3072.103,0.49,Resistor,3000.0,0.0
8,3026.295,0.142,3073.493,0.69,Resistor,3000.0,0.0
9,3041.233,0.226,3055.764,0.196,Resistor,3000.0,0.0
10,3027.955,0.269,3062.33,0.242,Resistor,3000.0,0.0
11,3021.902,0.353,3071.383,0.127,Resistor,3000.0,0.0
12,3018.78,0.351,3061.793,0.4,Resistor,3000.0,0.0
13,3014.506,0.596,3088.662,0.88,Resistor,3000.0,0.0
14,3031.133,0.719,3052.63,0.109,Resistor,3000.0,0.0
0,3070.641,0.13,3066.616,0.148,Resistor,3000.0,0.0
1,3095.747,0.726,3056.33,0.614,Resistor,3000.0,0.0
2,3078.404,0.717,3067.417,0.212,Resistor,3000.0,0.0
3,3043.822,0.544,3078.179,0.273,Resistor,3000.0,0.0
4,3064.899,0.145,3074.53,0.15,Resistor,3000.0,0.0
5,3073.276,0.406,3072.874,0.86,Resistor,3000.0,0.0
6,3081.982,0.343,3085.221,0.6,Resistor,3000.0,0.0
7,3067.416,0.8,3072.99,0.49,Resistor,3000.0,0.0
8,3068.987,0.44,3073.489,0.69,Resistor,3000.0,0.0
9,3047.0,0.203,3055.755,0.196,Resistor,3000.0,0.0
