Index,Magnitude,Phase,AccMagnitude,AccPhase,Label,Value_R,Value_C
0,1084.577,-35.16,1084.577,-35.16,Parallel_RC,1300.0,100.0
1,913.3,-44.864,913.3,-44.864,Parallel_RC,1300.0,100.0
2,770.97,-52.399,770.97,-52.399,Parallel_RC,1300.0,100.0
3,656.607,-59.246,656.607,-59.246,Parallel_RC,1300.0,100.0
4,574.134,-63.831,574.134,-63.831,Parallel_RC,1300.0,100.0
5,496.97,-65.228,496.97,-65.228,Parallel_RC,1300.0,100.0
6,445.498,-68.495,445.498,-68.495,Parallel_RC,1300.0,100.0
7,403.61,-71.15,403.61,-71.15,Parallel_RC,1300.0,100.0
8,366.97,-71.456,366.97,-71.456,Parallel_RC,1300.0,100.0
9,326.868,-74.7,326.868,-74.7,Parallel_RC,1300.0,100.0
10,284.77,-76.316,284.77,-76.316,Parallel_RC,1300.0,100.0
11,269.344,-75.142,269.344,-75.142,Parallel_RC,1300.0,100.0
12,235.964,-76.96,235.964,-76.96,Parallel_RC,1300.0,100.0
13,212.394,-77.866,212.394,-77.866,Parallel_RC,1300.0,100.0
14,182.84,-77.228,182.84,-77.228,Parallel_RC,1300.0,100.0
0,1100.472,-36.406,1084.593,-35.162,Parallel_RC,1300.0,100.0
1,920.71,-47.801,913.38,-44.867,Parallel_RC,1300.0,100.0
2,776.221,-55.497,770.975,-52.402,Parallel_RC,1300.0,100.0
3,662.396,-61.181,656.612,-59.247,Parallel_RC,1300.0,100.0
4,570.181,-65.167,574.13,-63.832,Parallel_RC,1300.0,100.0
5,506.897,-68.462,496.98,-65.231,Parallel_RC,1300.0,100.0
6,455.855,-70.491,445.508,-68.497,Parallel_RC,1300.0,100.0
7,405.529,-73.184,403.63,-71.152,Parallel_RC,1300.0,100.0
8,370.139,-74.522,366.101,-71.459,Parallel_RC,1300.0,100.0
9,330.776,-76.558,326.872,-74.9,Parallel_RC,1300.0,100.0
10,290.941,-78.584,284.84,-76.318,Parallel_RC,1300.0,100.0
11,269.803,-79.37,269.345,-75.146,Parallel_RC,1300.0,100.0
12,239.475,-80.22,235.967,-76.963,Parallel_RC,1300.0,100.0
13,212.305,-82.738,212.394,-77.871,Parallel_RC,1300.0,100.0
14,188.346,-82.644,182.9,-77.233,Parallel_RC,1300.0,100.0
0,1090.11,-35.947,1084.598,-35.163,Parallel_RC,1300.0,100.0
1,897.909,-45.449,913.23,-44.867,Parallel_RC,1300.0,100.0
2,769.646,-53.409,770.974,-52.403,Parallel_RC,1300.0,100.0
3,644.638,-58.73,656.6,-59.247,Parallel_RC,1300.0,100.0
4,571.251,-63.499,574.128,-63.832,Parallel_RC,1300.0,100.0
5,499.642,-65.981,496.983,-65.232,Parallel_RC,1300.0,100.0
6,445.107,-68.68,445.508,-68.497,Parallel_RC,1300.0,100.0
7,404.334,-70.884,403.65,-71.152,Parallel_RC,1300.0,100.0
8,363.654,-72.364,366.98,-71.459,Parallel_RC,1300.0,100.0
9,331.85,-74.484,326.877,-74.1,Parallel_RC,1300.0,100.0
10,287.146,-76.49,284.87,-76.318,Parallel_RC,1300.0,100.0
11,268.168,-76.49,269.343,-75.148,Parallel_RC,1300.0,100.0
12,238.836,-77.32,235.97,-76.964,Parallel_RC,1300.0,100.0
13,211.314,-78.963,212.393,-77.872,Parallel_RC,1300.0,100.0
14,189.52,-79.781,182.97,-77.236,Parallel_RC,1300.0,100.0
0,1098.22,-35.89,1084.612,-35.162,Parallel_RC,1300.0,100.0
1,913.341,-45.651,913.23,-44.868,Parallel_RC,1300.0,100.0
2,764.609,-53.336,770.968,-52.404,Parallel_RC,1300.0,100.0
3,648.997,-58.913,656.593,-59.247,Parallel_RC,1300.0,100.0
4,568.347,-63.581,574.122,-63.832,Parallel_RC,1300.0,100.0
5,500.416,-65.582,496.986,-65.232,Parallel_RC,1300.0,100.0
6,448.73,-68.329,445.511,-68.497,Parallel_RC,1300.0,100.0
7,405.491,-70.939,403.67,-71.152,Parallel_RC,1300.0,100.0
8,365.216,-72.107,366.98,-71.46,Parallel_RC,1300.0,100.0
9,330.224,-73.772,326.88,-74.9,Parallel_RC,1300.0,100.0
10,289.512,-75.58,284.92,-76.317,Parallel_RC,1300.0,100.0
11,265.99,-75.68,269.34,-75.148,Parallel_RC,1300.0,100.0
12,239.596,-76.517,235.974,-76.963,Parallel_RC,1300.0,100.0
13,213.397,-77.811,212.394,-77.872,Parallel_RC,1300.0,100.0
14,186.2,-78.291,182.101,-77.237,Parallel_RC,1300.0,100.0
0,1079.231,-34.664,1084.607,-35.162,Parallel_RC,1300.0,100.0
1,907.4,-45.913,913.17,-44.869,Parallel_RC,1300.0,100.0
