Index,Magnitude,Phase,AccMagnitude,AccPhase,Label,Value_R,Value_C
0,3444.504,-77.828,3444.504,-77.828,Series_RC,750.0,47.0
1,2346.561,-70.89,2346.561,-70.89,Series_RC,750.0,47.0
2,1868.187,-64.368,1868.187,-64.368,Series_RC,750.0,47.0
3,1580.143,-59.612,1580.143,-59.612,Series_RC,750.0,47.0
4,1391.225,-55.61,1391.225,-55.61,Series_RC,750.0,47.0
5,1260.626,-50.496,1260.626,-50.496,Series_RC,750.0,47.0
6,1183.685,-46.612,1183.685,-46.612,Series_RC,750.0,47.0
7,1104.849,-43.619,1104.849,-43.619,Series_RC,750.0,47.0
8,1042.972,-40.473,1042.972,-40.473,Series_RC,750.0,47.0
9,988.7,-37.835,988.7,-37.835,Series_RC,750.0,47.0
10,954.536,-33.892,954.536,-33.892,Series_RC,750.0,47.0
11,935.77,-31.593,935.77,-31.593,Series_RC,750.0,47.0
12,905.568,-28.117,905.568,-28.117,Series_RC,750.0,47.0
13,877.425,-24.721,877.425,-24.721,Series_RC,750.0,47.0
14,856.495,-22.81,856.495,-22.81,Series_RC,750.0,47.0
0,3473.23,-78.48,3444.533,-77.829,Series_RC,750.0,47.0
1,2363.416,-71.202,2346.578,-70.9,Series_RC,750.0,47.0
2,1879.561,-66.76,1868.199,-64.37,Series_RC,750.0,47.0
3,1580.334,-61.633,1580.143,-59.614,Series_RC,750.0,47.0
4,1383.335,-56.502,1391.218,-55.63,Series_RC,750.0,47.0
5,1248.373,-52.897,1260.614,-50.499,Series_RC,750.0,47.0
6,1161.47,-49.156,1183.663,-46.614,Series_RC,750.0,47.0
7,1080.7,-45.835,1104.825,-43.621,Series_RC,750.0,47.0
8,1026.7,-43.1,1042.955,-40.476,Series_RC,750.0,47.0
9,976.542,-39.927,988.58,-37.837,Series_RC,750.0,47.0
10,926.953,-35.748,954.508,-33.894,Series_RC,750.0,47.0
11,901.257,-33.879,935.44,-31.595,Series_RC,750.0,47.0
12,865.941,-30.126,905.529,-28.119,Series_RC,750.0,47.0
13,832.348,-27.627,877.38,-24.724,Series_RC,750.0,47.0
14,830.757,-24.769,856.469,-22.83,Series_RC,750.0,47.0
0,3451.217,-77.879,3444.539,-77.829,Series_RC,750.0,47.0
1,2421.666,-71.194,2346.653,-70.91,Series_RC,750.0,47.0
2,1869.821,-64.739,1868.2,-64.371,Series_RC,750.0,47.0
3,1556.25,-59.63,1580.119,-59.614,Series_RC,750.0,47.0
4,1394.341,-55.7,1391.221,-55.63,Series_RC,750.0,47.0
5,1257.355,-50.936,1260.61,-50.499,Series_RC,750.0,47.0
6,1180.899,-47.285,1183.66,-46.615,Series_RC,750.0,47.0
7,1102.297,-43.914,1104.822,-43.622,Series_RC,750.0,47.0
8,1042.246,-41.93,1042.955,-40.476,Series_RC,750.0,47.0
9,993.728,-38.462,988.64,-37.838,Series_RC,750.0,47.0
10,955.562,-34.492,954.509,-33.895,Series_RC,750.0,47.0
11,934.169,-32.169,935.43,-31.596,Series_RC,750.0,47.0
12,902.932,-29.231,905.526,-28.12,Series_RC,750.0,47.0
13,882.535,-25.606,877.385,-24.725,Series_RC,750.0,47.0
14,853.228,-23.644,856.466,-22.85,Series_RC,750.0,47.0
0,3439.803,-78.762,3444.534,-77.83,Series_RC,750.0,47.0
1,2385.468,-70.837,2346.692,-70.92,Series_RC,750.0,47.0
2,1870.124,-66.73,1868.202,-64.373,Series_RC,750.0,47.0
3,1558.554,-61.958,1580.98,-59.616,Series_RC,750.0,47.0
4,1372.96,-56.98,1391.201,-55.64,Series_RC,750.0,47.0
5,1241.73,-53.329,1260.592,-50.502,Series_RC,750.0,47.0
6,1154.319,-49.233,1183.631,-46.618,Series_RC,750.0,47.0
7,1074.468,-46.114,1104.792,-43.624,Series_RC,750.0,47.0
8,1019.55,-43.187,1042.931,-40.479,Series_RC,750.0,47.0
9,971.653,-39.852,988.47,-37.84,Series_RC,750.0,47.0
10,920.752,-36.26,954.475,-33.897,Series_RC,750.0,47.0
11,895.504,-34.54,935.3,-31.598,Series_RC,750.0,47.0
12,860.472,-30.15,905.481,-28.122,Series_RC,750.0,47.0
13,829.452,-27.508,877.337,-24.728,Series_RC,750.0,47.0
14,823.772,-24.892,856.433,-22.88,Series_RC,750.0,47.0
0,3467.9,-77.56,3444.558,-77.829,Series_RC,750.0,47.0
1,2374.525,-69.501,2346.719,-70.91,Series_RC,750.0,47.0
2,1870.14,-63.657,1868.204,-64.372,Series_RC,750.0,47.0
3,1583.296,-59.978,1580.101,-59.617,Series_RC,750.0,47.0
4,1397.706,-54.649,1391.208,-55.64,Series_RC,750.0,47.0
5,1255.925,-49.516,1260.587,-50.501,Series_RC,750.0,47.0
6,1161.348,-44.826,1183.609,-46.616,Series_RC,750.0,47.0
7,1125.668,-42.541,1104.813,-43.623,Series_RC,750.0,47.0
8,1032.439,-40.123,1042.921,-40.479,Series_RC,750.0,47.0
9,1004.963,-37.17,988.64,-37.839,Series_RC,750.0,47.0
10,949.812,-32.396,954.471,-33.895,Series_RC,750.0,47.0
